2026-04-13 16:23:23, MOVE, v:1, k:fup@max, mode:DOWN
2026-04-13 16:23:23, MOVE, v:1, k:fup@max, mode:EDIT
2026-04-13 16:30:08, MOVE, v:1, k:fup@max, mode:PICK
2026-04-13 16:31:09, MOVE, v:1, k:fup@max, mode:BACK
2026-04-13 16:31:13, MOVE, v:1, k:fup@abs, mode:PICK
2026-04-13 16:47:57, MOVE, v:1, k:fup@abs, mode:BACK
2026-04-13 16:59:20, MOVE, v:1, k:eval1@bala, mode:DOWN
2026-04-13 16:59:24, MOVE, v:1, k:eval1@bala, mode:PICK
2026-04-13 16:59:20, MOVE, v:1, k:eval1@bala, mode:EDIT
2026-04-13 17:02:27, MOVE, v:1, k:eval1@bala, mode:EDIT
2026-04-13 17:07:40, MOVE, v:1, k:eval1@bala, mode:EDIT
2026-04-13 17:13:37, MOVE, v:1, k:eval1@bala, mode:EDIT
2026-04-13 17:15:30, EXEC, v:1, k:eval1@bala, mode:FULL, size:17, fail:COMP
2026-04-13 17:15:34, EXEC, v:1, k:eval1@bala, mode:FREE
2026-04-13 17:19:05, MOVE, v:1, k:eval1@bala, mode:EDIT
2026-04-13 17:24:08, MOVE, v:1, k:eval1@bala, mode:EDIT
2026-04-13 17:25:38, MOVE, v:1, k:eval1@bala, mode:BACK
2026-04-13 17:25:56, MOVE, v:1, k:eval1@mumia, mode:DOWN
2026-04-13 17:26:02, MOVE, v:1, k:eval1@mumia, mode:PICK
2026-04-13 17:24:56, MOVE, v:1, k:eval1@bala, mode:EDIT
2026-04-13 17:24:59, MOVE, v:1, k:eval1@bala, mode:EDIT
2026-04-13 17:25:56, MOVE, v:1, k:eval1@mumia, mode:EDIT
2026-04-13 17:25:56, MOVE, v:1, k:eval1@mumia, mode:EDIT
2026-04-13 17:34:13, MOVE, v:1, k:eval1@mumia, mode:EDIT
2026-04-13 17:38:57, MOVE, v:1, k:eval1@mumia, mode:EDIT
2026-04-13 17:43:08, EXEC, v:1, k:eval1@mumia, mode:FULL, size:11, fail:COMP
2026-04-13 17:44:06, MOVE, v:1, k:eval1@mumia, mode:EDIT
2026-04-13 17:48:07, MOVE, v:1, k:eval1@mumia, mode:BACK
